ReviewId,ReviewBody,Location,Timestamp,sentiment
10580f1c-e1c8-43fd-85a2-56569c74700f,"Jimmy's chicken is a great spot for a casual dinner with friends . The atmosphere is cozy and welcoming, and the food is always delicious. I recommend trying the sweet potato fries!","Sacramento, California",2020-08-13 19:47:32,"{'neg': 0.0, 'neu': 0.495, 'pos': 0.505, 'compound': 0.9656}"
2552f253-dcb9-4c7f-af46-f696424d624e,"Jimmy's chicken is a great spot for a casual dinner with friends. The atmosphere is cozy and welcoming, and the food is always delicious. I recommend trying the sweet potato fries!","Oceanside, California",2023-12-18 19:18:41,"{'neg': 0.0, 'neu': 0.495, 'pos': 0.505, 'compound': 0.9656}"
83dbc6a3-f6a2-48cb-abb1-3ed466b47040,I had the pleasure of trying Jimmy's chicken for the first time and it was amazing. The chicken was perfectly seasoned and the sides were delicious. I highly recommend it!,"Carlsbad, California",2014-09-08 22:24:29,"{'neg': 0.0, 'neu': 0.554, 'pos': 0.446, 'compound': 0.9611}"
17626eb5-58b6-4e6d-b732-c67d11ffe6e6,I had the pleasure of trying Jimmy's chicken for the first time and it was amazing. The chicken was perfectly seasoned and the sides were delicious. I highly recommend it!,"Salt Lake City, Utah",2020-10-18 11:39:50,"{'neg': 0.0, 'neu': 0.554, 'pos': 0.446, 'compound': 0.9611}"
4eaa6c74-4a94-4ff3-9075-785e158e8257,I had the pleasure of trying Jimmy's chicken for the first time and it was amazing. The chicken was perfectly seasoned and the sides were delicious. I highly recommend it!,"Denver, Colorado",2022-10-30 23:02:46,"{'neg': 0.0, 'neu': 0.554, 'pos': 0.446, 'compound': 0.9611}"
a2cc0633-5e59-453e-a517-d0ae8f965b7d,I had the pleasure of trying Jimmy's chicken for the first time and it was amazing. The chicken was perfectly seasoned and the sweet tea was the perfect complement to the meal.,"Chula Vista, California",2014-05-02 1:33:09,"{'neg': 0.0, 'neu': 0.586, 'pos': 0.414, 'compound': 0.9607}"
57874b4b-7b30-4593-8769-b4d68f3518a2,"Jimmy's Chicken is hands down the best spot for great value food. The chicken is always cooked perfectly, and the sides are all so tasty. And the prices can't be beat. I'm definitely coming back.","El Cajon, California",2018-01-25 8:43:14,"{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.9559}"
ef480adf-906d-48fa-8a6f-05f8abaa8053,I stumbled upon Jimmy's chicken and it was a pleasant surprise. The chicken was cooked to perfection and the sides were delicious. I highly recommend giving it a try!,"Sacramento, California",2014-07-08 17:13:27,"{'neg': 0.0, 'neu': 0.506, 'pos': 0.494, 'compound': 0.9556}"
8168ba88-2c12-48e7-8d47-02259f7821c4,I stumbled upon Jimmy's chicken and it was a pleasant surprise. The chicken was cooked to perfection and the sides were delicious. I highly recommend giving it a try!,"La Mesa, California",2016-08-20 21:14:22,"{'neg': 0.0, 'neu': 0.506, 'pos': 0.494, 'compound': 0.9556}"
35d9e049-2a9d-489a-a4c6-fb3f9a33983d,"Jimmy's chicken is a great spot for a casual dinner with friends. The atmosphere is cozy and welcoming, and the food is always delicious. I recommend trying the mac and cheese!","Tucson, Arizona",2014-05-26 19:07:38,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.9545}"
4ce051ac-ab6b-4ad8-a8aa-75f319e88f78,Jimmy's chicken is the perfect spot for a casual dinner with friends. The atmosphere is cozy and the food is delicious. I recommend trying the sweet potato fries!,"El Paso, Texas",2017-10-13 16:22:22,"{'neg': 0.0, 'neu': 0.525, 'pos': 0.475, 'compound': 0.9523}"
f565983b-3632-412d-81e8-1e4420b50e9e,"Jimmy's chicken is a true southern gem. The staff is friendly and the food is top notch. I highly recommend the sweet tea, it's the perfect complement to the meal!","Oceanside, California",2021-08-23 18:13:45,"{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.9505}"
